minimum_score,minimum_adx,minimum_rvol,stop_atr,target_r,allow_long,allow_short,starting_capital,ending_capital,net_profit,total_return_pct,trades,win_rate_pct,profit_factor,average_r,max_drawdown_pct,rank_score
80,18,1.5,1.5,1.5,True,False,10000.0,11223.86,1223.86,12.24,23,60.87,2.25,0.52,-1.99,123.81400000000001
85,18,1.2,1.5,1.5,True,False,10000.0,11223.86,1223.86,12.24,23,60.87,2.25,0.52,-1.99,123.81400000000001
85,18,1.5,1.5,1.5,True,False,10000.0,11223.86,1223.86,12.24,23,60.87,2.25,0.52,-1.99,123.81400000000001
90,18,1.5,1.25,2.0,True,True,10000.0,10495.14,495.14,4.95,7,57.14,2.57,0.71,-1.97,123.508
90,22,1.5,1.25,2.0,True,True,10000.0,10495.14,495.14,4.95,7,57.14,2.57,0.71,-1.97,123.508
90,25,1.5,1.25,2.0,True,True,10000.0,10495.14,495.14,4.95,7,57.14,2.57,0.71,-1.97,123.508
90,30,1.5,1.25,2.0,True,True,10000.0,10495.14,495.14,4.95,7,57.14,2.57,0.71,-1.97,123.508
85,18,1.0,1.25,2.0,True,False,10000.0,11549.63,1549.63,15.5,27,51.85,2.06,0.55,-3.93,120.54
80,30,1.0,1.25,1.5,True,False,10000.0,10965.94,965.94,9.66,18,61.11,2.3,0.52,-1.99,120.45200000000001
85,30,1.0,1.25,1.5,True,False,10000.0,10965.94,965.94,9.66,18,61.11,2.3,0.52,-1.99,120.45200000000001
80,25,1.0,1.0,1.5,True,False,10000.0,11277.01,1277.01,12.77,25,60.0,2.18,0.49,-3.92,119.72
85,25,1.0,1.0,1.5,True,False,10000.0,11277.01,1277.01,12.77,25,60.0,2.18,0.49,-3.92,119.72
80,22,1.0,1.0,2.0,True,False,10000.0,11545.02,1545.02,15.45,27,51.85,2.06,0.55,-4.89,119.48
85,22,1.0,1.0,2.0,True,False,10000.0,11545.02,1545.02,15.45,27,51.85,2.06,0.55,-4.89,119.48
75,18,1.5,1.25,2.0,True,False,10000.0,11770.99,1770.99,17.71,34,50.0,1.93,0.49,-3.96,118.81
75,22,1.0,1.25,2.0,True,False,10000.0,11770.99,1770.99,17.71,34,50.0,1.93,0.49,-3.96,118.81
75,22,1.2,1.25,2.0,True,False,10000.0,11770.99,1770.99,17.71,34,50.0,1.93,0.49,-3.96,118.81
75,22,1.5,1.25,2.0,True,False,10000.0,11770.99,1770.99,17.71,34,50.0,1.93,0.49,-3.96,118.81
80,22,1.0,1.25,1.5,True,False,10000.0,11280.19,1280.19,12.8,25,60.0,2.15,0.49,-3.92,118.72999999999999
85,22,1.0,1.25,1.5,True,False,10000.0,11280.19,1280.19,12.8,25,60.0,2.15,0.49,-3.92,118.72999999999999
80,22,1.0,1.25,2.0,True,False,10000.0,11440.3,1440.3,14.4,25,52.0,2.07,0.55,-3.92,118.72999999999999
85,22,1.0,1.25,2.0,True,False,10000.0,11440.3,1440.3,14.4,25,52.0,2.07,0.55,-3.92,118.72999999999999
75,18,1.5,1.5,2.5,True,False,10000.0,11698.83,1698.83,16.99,29,44.83,1.95,0.56,-3.94,118.45599999999999
75,22,1.0,1.5,2.5,True,False,10000.0,11698.83,1698.83,16.99,29,44.83,1.95,0.56,-3.94,118.45599999999999
75,22,1.2,1.5,2.5,True,False,10000.0,11698.83,1698.83,16.99,29,44.83,1.95,0.56,-3.94,118.45599999999999
75,22,1.5,1.5,2.5,True,False,10000.0,11698.83,1698.83,16.99,29,44.83,1.95,0.56,-3.94,118.45599999999999
90,18,1.2,1.25,2.0,True,True,10000.0,10595.11,595.11,5.95,9,55.56,2.4,0.66,-1.97,118.24200000000002
90,22,1.2,1.25,2.0,True,True,10000.0,10595.11,595.11,5.95,9,55.56,2.4,0.66,-1.97,118.24200000000002
90,25,1.2,1.25,2.0,True,True,10000.0,10595.11,595.11,5.95,9,55.56,2.4,0.66,-1.97,118.24200000000002
90,30,1.2,1.25,2.0,True,True,10000.0,10595.11,595.11,5.95,9,55.56,2.4,0.66,-1.97,118.24200000000002
